"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";1448;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1448;139
"B7_02";"G";1524;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1524;168
"B7_03";"G";928;"^ 0.5";1;0,3;"euclidean";0,05;5;20;928;103
"C7_01";"G";996;"^ 0.5";1;0,3;"euclidean";0,05;5;20;996;166
"C7_02";"G";1179;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1179;200
"C7_03";"G";1351;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1351;279
"D7_01";"G";727;"^ 0.5";1;0,3;"euclidean";0,05;5;20;727;58
"D7_02";"G";1047;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1047;128
"D7_03";"G";931;"^ 0.5";1;0,3;"euclidean";0,05;5;20;931;113
"E7_01";"G";864;"^ 0.5";1;0,3;"euclidean";0,05;5;20;864;121
"E7_02";"G";1057;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1057;120
"E7_03";"G";1104;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1104;130
"F7_01";"G";708;"^ 0.5";1;0,3;"euclidean";0,05;5;20;708;208
"F7_02";"G";1026;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1026;168
"F7_03";"G";1348;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1348;145
"G7_01";"G";618;"^ 0.5";1;0,3;"euclidean";0,05;5;20;618;74
"G7_02";"G";1067;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1067;120
"G7_03";"G";1006;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1006;125
